X	Y
0	-0.18053345
1	-0.17243316
2	-0.17663853
3	-0.16958929
4	-0.17017754
5	-0.18197065
6	-0.16959207
7	-0.1690475
8	-0.177824
9	-0.1763189
10	-0.17905227
11	-0.17662498
12	-0.17270402
13	-0.16323605
14	-0.17049725
15	-0.16758798
16	-0.17243101
17	-0.16740706
18	-0.1691505
19	-0.16824611
20	-0.16002157
21	-0.16429888
22	-0.16434333
23	-0.16354133
24	-0.17479465
25	-0.17808053
26	-0.1735309
27	-0.18057317
28	-0.17829627
29	-0.18448684
30	-0.17414507
31	-0.17872746
32	-0.17935621
33	-0.17853242
34	-0.17962647
35	-0.17799058
36	-0.17480377
37	-0.18595738
38	-0.18989318
39	-0.1924971
40	-0.20599245
41	-0.20556037
42	-0.22749936
43	-0.2447727
44	-0.26772983
45	-0.27932498
46	-0.30611612
47	-0.3199457
48	-0.33744165
49	-0.36386117
50	-0.38406786
51	-0.39655213
52	-0.41382327
53	-0.42474411
54	-0.4457523
55	-0.45355386
56	-0.4518928
57	-0.45739413
58	-0.46130525
59	-0.46128138
60	-0.45521018
61	-0.45981932
62	-0.44694097
63	-0.44454323
64	-0.4360007
65	-0.43193633
66	-0.42130352
67	-0.41462646
68	-0.40124626
69	-0.38246235
70	-0.36707168
71	-0.36211733
72	-0.35438625
73	-0.34539411
74	-0.35204072
75	-0.35405937
76	-0.35465178
77	-0.35616539
78	-0.35344169
79	-0.3427969
